Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose,Bivalent Booster 1
10/30/2022,Blair,,,,,38
12/18/2020,Centre,312,,,,
12/18/2020,Clarion,95,,,,
12/18/2020,Clearfield,172,,,,
12/18/2020,Clinton,18,,,,
06/03/2021,Beaver,150,256,,,
12/18/2020,Crawford,87,,,,
12/18/2020,Cumberland,23,,,,
04/07/2021,Venango,134,359,,,
12/18/2020,Elk,36,,,,
12/22/2020,Carbon,76,,,,
12/18/2020,Fayette,324,1,,,
12/18/2020,Forest,12,,,,
12/18/2020,Franklin,33,,,,
12/18/2020,Greene,10,,,,
07/14/2021,Berks,362,579,,,
12/18/2020,Jefferson,97,,,,
12/18/2020,Juniata,10,,,,
12/18/2020,Lawrence,41,,,,
12/18/2020,Lebanon,10,,,,
05/22/2021,Monroe,371,500,,,
01/17/2021,Westmoreland,830,31,,,
12/18/2020,Mckean,5,,,,
03/18/2021,Lackawanna,1267,820,,,
03/13/2021,Huntingdon,34,196,,,
11/25/2021,Lehigh,2,11,6,,
09/24/2022,York,5,12,3,,432
11/06/2022,Lebanon,,,,,33
12/18/2020,Perry,3,,,,
10/13/2021,Franklin,111,95,326,,
12/18/2020,Pike,9,,,,
12/18/2020,Potter,10,,,,
12/18/2020,Schuylkill,120,,,,
12/18/2020,Somerset,83,,,,
12/18/2020,Sullivan,1,,,,
12/18/2020,Susquehanna,1,,,,
12/18/2020,Tioga,2,,,,
04/07/2022,Clearfield,4,5,14,21,
12/18/2020,Venango,42,,,,
12/18/2020,Warren,11,,,,
09/24/2022,Delaware,19,22,4,,671
05/24/2022,Crawford,8,7,14,75,
01/30/2021,Butler,597,117,,,
10/22/2022,Lycoming,,1,,,116
06/23/2022,Erie,29,18,49,86,
12/19/2020,Adams,9,,,,
12/19/2020,Armstrong,23,,,,
12/19/2020,Bedford,3,,,,
05/05/2021,Mifflin,15,79,,,
12/19/2020,Bradford,50,,,,
12/19/2020,Butler,118,,,,
07/07/2022,Lackawanna,31,11,35,62,
12/19/2020,Carbon,34,,,,
12/19/2020,Centre,154,,,,
09/23/2022,Centre,8,12,,,1015
12/19/2020,Clarion,20,,,,
12/19/2020,Clearfield,27,,,,
12/19/2020,Clinton,14,,,,
12/19/2020,Columbia,89,,,,
12/19/2020,Cumberland,31,,,,
12/19/2020,Dauphin,20,,,,
12/19/2020,Elk,1,,,,
12/19/2020,Fayette,105,,,,
12/19/2020,Forest,4,,,,
12/19/2020,Franklin,131,,,,
12/19/2020,Greene,1,,,,
12/19/2020,Huntingdon,10,,,,
12/19/2020,Indiana,31,,,,
12/19/2020,Jefferson,4,,,,
12/19/2020,Juniata,2,,,,
12/19/2020,Lackawanna,101,,,,
12/19/2020,Lancaster,156,,,,
12/19/2020,Lawrence,10,,,,
05/29/2021,Perry,46,75,,,
03/02/2022,Huntingdon,11,7,6,,
12/19/2020,Mifflin,25,,,,
03/15/2021,Lebanon,399,519,,,
09/06/2022,Luzerne,44,19,1,,116
03/13/2021,Beaver,1389,937,,,
01/18/2021,York,895,257,,,
12/19/2020,Northumberland,78,,,,
03/28/2021,Montgomery,5200,1959,,,
12/19/2020,Potter,1,,,,
12/19/2020,Schuylkill,30,,,,
12/19/2020,Snyder,13,,,,
12/19/2020,Somerset,11,,,,
12/19/2020,Susquehanna,5,,,,
12/19/2020,Tioga,4,,,,
03/09/2021,Erie,1651,1806,,,
12/19/2020,Warren,14,,,,
01/05/2021,Montgomery,1649,207,,,
12/19/2020,Wayne,10,,,,
10/23/2022,Mercer,1,1,,,43
12/19/2020,Wyoming,5,,,,
12/19/2020,York,232,,,,
