date,confirmed_cases,Face_Masks_Required_in_Public,death,current_population,change_in_daily_cases
2021-10-22,130465,unknown,2298,611240,345.0
2021-10-23,130968,unknown,2303,608937,503.0
2021-10-24,131180,unknown,2303,606634,212.0
2021-10-25,131453,unknown,2303,604331,273.0
2021-10-26,131816,unknown,2306,602025,363.0
2021-10-27,132251,unknown,2321,599704,435.0
2021-10-28,132665,unknown,2332,597372,414.0
2021-10-29,133143,unknown,2334,595038,478.0
2021-10-30,133588,unknown,2338,592700,445.0
2021-10-31,133907,unknown,2343,590357,319.0
2021-11-01,134169,unknown,2343,588014,262.0
2021-11-02,134477,unknown,2350,585664,308.0
2021-11-03,134922,unknown,2358,583306,445.0
2021-11-04,135343,unknown,2369,580937,421.0
2021-11-05,135912,unknown,2372,578565,569.0
2021-11-06,136354,unknown,2376,576189,442.0
2021-11-07,136818,unknown,2376,573813,464.0
2021-11-08,137150,unknown,2378,571435,332.0
2021-11-09,137452,unknown,2388,569047,302.0
2021-11-10,138050,unknown,2402,566645,598.0
2021-11-11,138485,unknown,2412,564233,435.0
2021-11-12,139322,unknown,2414,561819,837.0
2021-11-13,139767,unknown,2420,559399,445.0
2021-11-14,140294,unknown,2423,556976,527.0
2021-11-15,140678,unknown,2424,554552,384.0
2021-11-16,141336,unknown,2431,552121,658.0
2021-11-17,141833,unknown,2439,549682,497.0
2021-11-18,142527,unknown,2446,547236,694.0
2021-11-19,143372,unknown,2451,544785,845.0
2021-11-20,144076,unknown,2457,542328,704.0
2021-11-21,144615,unknown,2458,539870,539.0
2021-11-22,145422,unknown,2458,537412,807.0
2021-11-23,145902,unknown,2462,534950,480.0
2021-11-24,146794,unknown,2468,532482,892.0
2021-11-25,147267,unknown,2476,530006,473.0
2021-11-26,148118,unknown,2476,527530,851.0
2021-11-27,148492,unknown,2476,525054,374.0
2021-11-28,148898,unknown,2481,522573,406.0
2021-11-29,149645,unknown,2483,520090,747.0
2021-11-30,150179,unknown,2490,517600,534.0
2021-12-01,150886,unknown,2495,515105,707.0
2021-12-02,151539,unknown,2502,512603,653.0
2021-12-03,152840,unknown,2512,510091,1301.0
2021-12-04,153516,unknown,2518,507573,676.0
2021-12-05,154011,unknown,2522,505051,495.0
2021-12-06,154363,unknown,2526,502525,352.0
2021-12-07,155212,unknown,2532,499993,849.0
2021-12-08,155979,unknown,2542,497451,767.0
2021-12-09,156669,unknown,2545,494906,690.0
2021-12-10,157410,unknown,2560,492346,741.0
2021-12-11,158347,unknown,2570,489776,937.0
2021-12-12,159011,unknown,2574,487202,664.0
2021-12-13,159390,unknown,2574,484628,379.0
2021-12-14,160084,unknown,2583,482045,694.0
2021-12-15,160659,unknown,2612,479433,575.0
2021-12-16,161085,unknown,2620,476813,426.0
2021-12-17,161862,unknown,2629,474184,777.0
2021-12-18,162514,unknown,2643,471541,652.0
2021-12-19,163022,unknown,2646,468895,508.0
2021-12-20,163457,unknown,2648,466247,435.0
2021-12-21,164271,unknown,2665,463582,814.0
2021-12-22,164715,unknown,2674,460908,444.0
2021-12-23,165659,unknown,2688,458220,944.0
2021-12-24,167244,unknown,2691,455529,1585.0
2021-12-25,168486,unknown,2691,452838,1242.0
2021-12-26,169372,unknown,2691,450147,886.0
2021-12-27,169781,unknown,2691,447456,409.0
2021-12-28,170435,unknown,2698,444758,654.0
2021-12-29,172136,unknown,2715,442043,1701.0
2021-12-30,174116,unknown,2724,439319,1980.0
2021-12-31,176336,unknown,2725,436594,2220.0
2022-01-01,179776,unknown,2725,433869,3440.0
2022-01-02,181874,unknown,2725,431144,2098.0
2022-01-03,184573,unknown,2727,428417,2699.0
2022-01-04,186760,unknown,2739,425678,2187.0
2022-01-05,190152,unknown,2750,422928,3392.0
2022-01-06,194789,unknown,2767,420161,4637.0
2022-01-07,198751,unknown,2777,417384,3962.0
2022-01-08,202490,unknown,2784,414600,3739.0
2022-01-09,205696,unknown,2786,411814,3206.0
2022-01-10,208603,unknown,2787,409027,2907.0
2022-01-11,210625,unknown,2799,406228,2022.0
2022-01-12,214887,unknown,2809,403419,4262.0
2022-01-13,218117,unknown,2815,400604,3230.0
2022-01-14,221273,unknown,2831,397773,3156.0
2022-01-15,224385,unknown,2842,394931,3112.0
2022-01-16,228362,unknown,2842,392089,3977.0
2022-01-17,230108,unknown,2842,389247,1746.0
2022-01-18,231810,unknown,2843,386404,1702.0
2022-01-19,233419,unknown,2848,383556,1609.0
2022-01-20,235185,unknown,2864,380692,1766.0
2022-01-21,237334,unknown,2885,377807,2149.0
2022-01-22,239215,unknown,2901,374906,1881.0
2022-01-23,240260,unknown,2904,372002,1045.0
2022-01-24,241621,unknown,2905,369097,1361.0
2022-01-25,242555,unknown,2921,366176,934.0
2022-01-26,243543,unknown,2933,363243,988.0
2022-01-27,245213,unknown,2954,360289,1670.0
2022-01-28,246575,unknown,2965,357324,1362.0
2022-01-29,250058,unknown,2975,354349,3483.0
2022-01-30,250741,unknown,2976,351373,683.0
2022-01-31,251318,unknown,2979,348394,577.0
2022-02-01,251815,unknown,3004,345390,497.0
2022-02-02,252496,unknown,3019,342371,681.0
2022-02-03,253226,unknown,3031,339340,730.0
2022-02-04,253888,unknown,3043,336297,662.0
2022-02-05,254604,unknown,3057,333240,716.0
2022-02-06,254874,unknown,3059,330181,270.0
2022-02-07,255574,unknown,3063,327118,700.0
2022-02-08,255232,unknown,3083,324035,-342.0
2022-02-09,255702,unknown,3091,320944,470.0
2022-02-10,256178,unknown,3098,317846,476.0
2022-02-11,256562,unknown,3105,314741,384.0
2022-02-12,257052,unknown,3112,311629,490.0
2022-02-13,257293,unknown,3112,308517,241.0
2022-02-14,257594,unknown,3117,305400,301.0
2022-02-15,257812,unknown,3126,302274,218.0
2022-02-16,258008,unknown,3136,299138,196.0
2022-02-17,258378,unknown,3140,295998,370.0
2022-02-18,258731,unknown,3143,292855,353.0
2022-02-19,259206,unknown,3143,289712,475.0
2022-02-20,259348,unknown,3156,286556,142.0
2022-02-21,259348,unknown,3156,283400,0.0
2022-02-22,259678,unknown,3156,280244,330.0
2022-02-23,259837,unknown,3175,277069,159.0
2022-02-24,260022,unknown,3186,273883,185.0
2022-02-25,260180,unknown,3191,270692,158.0
2022-02-26,260530,unknown,3198,267494,350.0
2022-02-27,260642,unknown,3200,264294,112.0
2022-02-28,260712,unknown,3200,261094,70.0
2022-03-01,260868,unknown,3210,257884,156.0
2022-03-02,260980,unknown,3217,254667,112.0
2022-03-03,261102,unknown,3220,251447,122.0
2022-03-04,261220,unknown,3222,248225,118.0
2022-03-05,261326,unknown,3222,245003,106.0
2022-03-06,261395,unknown,3233,241770,69.0
2022-03-07,261495,unknown,3233,238537,100.0
2022-03-08,261591,unknown,3242,235295,96.0
2022-03-09,261659,unknown,3243,232052,68.0
2022-03-10,261789,unknown,3244,228808,130.0
2022-03-11,261882,unknown,3253,225555,93.0
2022-03-12,261957,unknown,3258,222297,75.0
2022-03-13,262010,unknown,3259,219038,53.0
2022-03-14,262042,unknown,3260,215778,32.0
2022-03-15,262125,unknown,3262,212516,83.0
2022-03-16,262172,unknown,3263,209253,47.0
2022-03-17,262233,unknown,3263,205990,61.0
2022-03-18,262340,unknown,3264,202726,107.0
2022-03-19,262410,unknown,3264,199462,70.0
2022-03-20,262456,unknown,3268,196194,46.0
2022-03-21,262514,unknown,3268,192926,58.0
2022-03-22,262556,unknown,3272,189654,42.0
2022-03-23,262636,unknown,3275,186379,80.0
2022-03-24,262741,unknown,3278,183101,105.0
2022-03-25,262805,unknown,3280,179821,64.0
2022-03-26,262894,unknown,3280,176541,89.0
2022-03-27,262939,unknown,3280,173261,45.0
2022-03-28,262969,unknown,3280,169981,30.0
2022-03-29,263027,unknown,3282,166699,58.0
2022-03-30,263085,unknown,3285,163414,58.0
2022-03-31,263142,unknown,3286,160128,57.0
2022-04-01,263209,unknown,3288,156840,67.0
2022-04-02,263300,unknown,3289,153551,91.0
2022-04-03,263300,unknown,3289,150262,0.0
2022-04-04,263368,unknown,3289,146973,68.0
2022-04-05,263437,unknown,3292,143681,69.0
2022-04-06,263496,unknown,3294,140387,59.0
2022-04-07,263617,unknown,3294,137093,121.0
2022-04-08,263773,unknown,3294,133799,156.0
2022-04-09,263899,unknown,3294,130505,126.0
2022-04-10,263964,unknown,3294,127211,65.0
2022-04-11,264031,unknown,3294,123917,67.0
2022-04-12,264143,unknown,3295,120622,112.0
2022-04-13,264349,unknown,3294,117328,206.0
2022-04-14,264521,unknown,3299,114029,172.0
2022-04-15,264711,unknown,3301,110728,190.0
2022-04-16,264941,unknown,3302,107426,230.0
2022-04-17,265036,unknown,3302,104124,95.0
2022-04-18,265167,unknown,3302,100822,131.0
2022-04-19,265302,unknown,3309,97513,135.0
2022-04-20,265536,unknown,3310,94203,234.0
2022-04-21,265744,unknown,3310,90893,208.0
2022-04-22,265968,unknown,3311,87582,224.0
2022-04-23,266239,unknown,3311,84271,271.0
2022-04-24,266379,unknown,3311,80960,140.0
2022-04-25,266523,unknown,3311,77649,144.0
2022-04-26,266679,unknown,3312,74337,156.0
2022-04-27,267012,unknown,3312,71025,333.0
2022-04-28,267326,unknown,3314,67711,314.0
2022-04-29,267593,unknown,3316,64395,267.0
2022-04-30,267841,unknown,3316,61079,248.0
2022-05-01,268082,unknown,3316,57763,241.0
2022-05-02,268240,unknown,3316,54447,158.0
2022-05-03,268436,unknown,3317,51130,196.0
2022-05-04,268725,unknown,3319,47811,289.0
2022-05-05,268725,unknown,3319,44492,0.0
2022-05-06,268725,unknown,3319,41173,0.0
2022-05-07,268725,unknown,3319,37854,0.0
2022-05-08,268725,unknown,3319,34535,0.0
2022-05-09,268725,unknown,3319,31216,0.0
2022-05-10,268725,unknown,3319,27897,0.0
2022-05-11,271427,unknown,3323,24574,2702.0
2022-05-12,271427,unknown,3323,21251,0.0
2022-05-13,271427,unknown,3323,17928,0.0
2022-05-14,271427,unknown,3323,14605,0.0
2022-05-15,271427,unknown,3323,11282,0.0
2022-05-16,271427,unknown,3323,7959,0.0
2022-05-17,271427,unknown,3323,4636,0.0
2022-05-18,274948,unknown,3327,1309,3521.0
2022-05-19,274948,unknown,3327,-2018,0.0
2022-05-20,274948,unknown,3327,-5345,0.0
2022-05-21,274948,unknown,3327,-8672,0.0
2022-05-22,274948,unknown,3327,-11999,0.0
2022-05-23,274948,unknown,3327,-15326,0.0
2022-05-24,274948,unknown,3327,-18653,0.0
2022-05-25,279182,unknown,3348,-22001,4234.0
2022-05-26,279182,unknown,3348,-25349,0.0
2022-05-27,279182,unknown,3348,-28697,0.0
2022-05-28,279182,unknown,3348,-32045,0.0
2022-05-29,279182,unknown,3348,-35393,0.0
2022-05-30,279182,unknown,3348,-38741,0.0
2022-05-31,279182,unknown,3348,-42089,0.0
2022-06-01,282476,unknown,3357,-45446,3294.0
2022-06-02,282476,unknown,3357,-48803,0.0
2022-06-03,282476,unknown,3357,-52160,0.0
2022-06-04,282476,unknown,3357,-55517,0.0
2022-06-05,282476,unknown,3357,-58874,0.0
2022-06-06,282476,unknown,3357,-62231,0.0
2022-06-07,282476,unknown,3357,-65588,0.0
2022-06-08,285367,unknown,3376,-68964,2891.0
2022-06-09,285367,unknown,3376,-72340,0.0
2022-06-10,285367,unknown,3376,-75716,0.0
2022-06-11,285367,unknown,3376,-79092,0.0
2022-06-12,285367,unknown,3376,-82468,0.0
2022-06-13,285367,unknown,3376,-85844,0.0
2022-06-14,285367,unknown,3376,-89220,0.0
2022-06-15,285367,unknown,3376,-92596,0.0
2022-06-16,287728,unknown,3392,-95988,2361.0
2022-06-17,287728,unknown,3392,-99380,0.0
2022-06-18,287728,unknown,3392,-102772,0.0
2022-06-19,287728,unknown,3392,-106164,0.0
2022-06-20,287728,unknown,3392,-109556,0.0
2022-06-21,287728,unknown,3392,-112948,0.0
2022-06-22,289042,unknown,3399,-116347,1314.0
2022-06-23,289042,unknown,3399,-119746,0.0
2022-06-24,289042,unknown,3399,-123145,0.0
2022-06-25,289042,unknown,3399,-126544,0.0
2022-06-26,289042,unknown,3399,-129943,0.0
2022-06-27,289042,unknown,3399,-133342,0.0
2022-06-28,289042,unknown,3399,-136741,0.0
2022-06-29,289042,unknown,3399,-140140,0.0
2022-06-30,291095,unknown,3411,-143551,2053.0
2022-07-01,291095,unknown,3411,-146962,0.0
2022-07-02,291095,unknown,3411,-150373,0.0
2022-07-03,291095,unknown,3411,-153784,0.0
2022-07-04,291095,unknown,3411,-157195,0.0
2022-07-05,291095,unknown,3411,-160606,0.0
2022-07-06,292367,unknown,3416,-164022,1272.0
2022-07-07,292367,unknown,3416,-167438,0.0
2022-07-08,292367,unknown,3416,-170854,0.0
2022-07-09,292367,unknown,3416,-174270,0.0
2022-07-10,292367,unknown,3416,-177686,0.0
2022-07-11,292367,unknown,3416,-181102,0.0
2022-07-12,292367,unknown,3416,-184518,0.0
2022-07-13,294798,unknown,3427,-187945,2431.0
2022-07-14,294798,unknown,3427,-191372,0.0
2022-07-15,294798,unknown,3427,-194799,0.0
2022-07-16,294798,unknown,3427,-198226,0.0
2022-07-17,294798,unknown,3427,-201653,0.0
2022-07-18,294798,unknown,3427,-205080,0.0
2022-07-19,294798,unknown,3427,-208507,0.0
2022-07-20,297003,unknown,3434,-211941,2205.0
2022-07-21,297003,unknown,3434,-215375,0.0
2022-07-22,297003,unknown,3434,-218809,0.0
2022-07-23,297003,unknown,3434,-222243,0.0
2022-07-24,297003,unknown,3434,-225677,0.0
2022-07-25,297003,unknown,3434,-229111,0.0
2022-07-26,297003,unknown,3434,-232545,0.0
2022-07-27,299632,unknown,3443,-235988,2629.0
2022-07-28,299632,unknown,3443,-239431,0.0
2022-07-29,299632,unknown,3443,-242874,0.0
2022-07-30,299632,unknown,3443,-246317,0.0
2022-07-31,299632,unknown,3443,-249760,0.0
2022-08-01,299632,unknown,3443,-253203,0.0
2022-08-02,299632,unknown,3443,-256646,0.0
2022-08-03,302293,unknown,3449,-260095,2661.0
2022-08-04,302293,unknown,3449,-263544,0.0
2022-08-05,302293,unknown,3449,-266993,0.0
2022-08-06,302293,unknown,3449,-270442,0.0
2022-08-07,302293,unknown,3449,-273891,0.0
2022-08-08,302293,unknown,3449,-277340,0.0
2022-08-09,302293,unknown,3449,-280789,0.0
2022-08-10,304335,unknown,3459,-284248,2042.0
2022-08-11,304335,unknown,3459,-287707,0.0
2022-08-12,304335,unknown,3459,-291166,0.0
2022-08-13,304335,unknown,3459,-294625,0.0
2022-08-14,304335,unknown,3459,-298084,0.0
2022-08-15,304335,unknown,3459,-301543,0.0
2022-08-16,304335,unknown,3459,-305002,0.0
2022-08-17,307180,unknown,3477,-308479,2845.0
2022-08-18,307533,unknown,3478,-311957,353.0
2022-08-19,307533,unknown,3478,-315435,0.0
2022-08-20,307533,unknown,3478,-318913,0.0
2022-08-21,307533,unknown,3478,-322391,0.0
2022-08-22,307533,unknown,3478,-325869,0.0
2022-08-23,307533,unknown,3478,-329347,0.0
2022-08-24,309499,unknown,3483,-332830,1966.0
2022-08-25,309499,unknown,3483,-336313,0.0
2022-08-26,309499,unknown,3483,-339796,0.0
2022-08-27,309499,unknown,3483,-343279,0.0
2022-08-28,309499,unknown,3483,-346762,0.0
2022-08-29,309499,unknown,3483,-350245,0.0
2022-08-30,309499,unknown,3483,-353728,0.0
2022-08-31,311556,unknown,3501,-357229,2057.0
2022-09-01,311556,unknown,3501,-360730,0.0
2022-09-02,311556,unknown,3501,-364231,0.0
2022-09-03,311556,unknown,3501,-367732,0.0
2022-09-04,311556,unknown,3501,-371233,0.0
2022-09-05,311556,unknown,3501,-374734,0.0
2022-09-06,311556,unknown,3501,-378235,0.0
2022-09-07,313327,unknown,3509,-381744,1771.0
2022-09-08,313327,unknown,3509,-385253,0.0
2022-09-09,313327,unknown,3509,-388762,0.0
2022-09-10,313327,unknown,3509,-392271,0.0
2022-09-11,313327,unknown,3509,-395780,0.0
2022-09-12,313327,unknown,3509,-399289,0.0
2022-09-13,313327,unknown,3509,-402798,0.0
2022-09-14,315361,unknown,3525,-406323,2034.0
2022-09-15,315361,unknown,3525,-409848,0.0
2022-09-16,315361,unknown,3525,-413373,0.0
2022-09-17,315361,unknown,3525,-416898,0.0
2022-09-18,315361,unknown,3525,-420423,0.0
2022-09-19,315361,unknown,3525,-423948,0.0
2022-09-20,315361,unknown,3525,-427473,0.0
2022-09-21,316879,unknown,3538,-431011,1518.0
2022-09-22,316879,unknown,3538,-434549,0.0
2022-09-23,316879,unknown,3538,-438087,0.0
2022-09-24,316879,unknown,3538,-441625,0.0
2022-09-25,316879,unknown,3538,-445163,0.0
2022-09-26,316879,unknown,3538,-448701,0.0
2022-09-27,316879,unknown,3538,-452239,0.0
2022-09-28,318310,unknown,3549,-455788,1431.0
2022-09-29,318310,unknown,3549,-459337,0.0
2022-09-30,318310,unknown,3549,-462886,0.0
2022-10-01,318310,unknown,3549,-466435,0.0
2022-10-02,318310,unknown,3549,-469984,0.0
2022-10-03,318310,unknown,3549,-473533,0.0
2022-10-04,318310,unknown,3549,-477082,0.0
2022-10-05,319370,unknown,3558,-480640,1060.0
2022-10-06,319370,unknown,3558,-484198,0.0
2022-10-07,319370,unknown,3558,-487756,0.0
2022-10-08,319370,unknown,3558,-491314,0.0
2022-10-09,319370,unknown,3558,-494872,0.0
2022-10-10,319370,unknown,3558,-498430,0.0
2022-10-11,319370,unknown,3558,-501988,0.0
2022-10-12,320559,unknown,3567,-505555,1189.0
2022-10-13,320559,unknown,3567,-509122,0.0
2022-10-14,320559,unknown,3567,-512689,0.0
2022-10-15,320559,unknown,3567,-516256,0.0
2022-10-16,320559,unknown,3567,-519823,0.0
2022-10-17,320559,unknown,3567,-523390,0.0
2022-10-18,320559,unknown,3567,-526957,0.0
2022-10-19,321509,unknown,3583,-530540,950.0
2022-10-20,321509,unknown,3583,-534123,0.0
2022-10-21,321509,unknown,3583,-537706,0.0
2022-10-22,321509,unknown,3583,-541289,0.0
2022-10-23,321509,unknown,3583,-544872,0.0
2022-10-24,321509,unknown,3583,-548455,0.0
2022-10-25,321509,unknown,3583,-552038,0.0
2022-10-26,322504,unknown,3595,-555633,995.0
2022-10-27,322504,unknown,3595,-559228,0.0
2022-10-28,322504,unknown,3595,-562823,0.0
2022-10-29,322504,unknown,3595,-566418,0.0
2022-10-30,322504,unknown,3595,-570013,0.0
2022-10-31,322504,unknown,3595,-573608,0.0
